NaN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
19.15,6.52e-14,7.478e-16,1.616e-16,9.643e-16,3.508e-16,1.524e-16,2.659e-17,1.232e-17,1.507e-18,2.011e-19,2.036e-20,2.909e-24,5.386e-24,2.11e-23,6.279e-24,1.414e-24,1.144e-24,6.244e-25,1.114e-24,4.081e-25,0,0,0,0,0,4.623e-37,4.354e-23,4.061e-14,3.411e-17,2.929e-16,7.24e-22,1.171e-16,3.388e-22,3.509e-17,1.072e-17,2.204e-17,1.121e-18,3.282e-22,2.93e-22,4.972e-23,1.15e-27,0
19.85,6.551e-14,7.777e-16,1.618e-16,1.015e-15,3.765e-16,1.67e-16,3.067e-17,1.447e-17,1.937e-18,2.734e-19,3.003e-20,5.73e-24,1.091e-23,4.299e-23,1.311e-23,2.994e-24,2.436e-24,1.355e-24,2.446e-24,9.336e-25,2.325e-26,2.237e-27,2.073e-29,0,0,4.587e-37,8.181e-23,4.072e-14,3.402e-17,2.91e-16,1.358e-21,1.167e-16,6.329e-22,3.508e-17,1.075e-17,2.243e-17,1.175e-18,6.179e-22,5.666e-22,1.058e-22,4.349e-27,2.043e-28
20.57,6.577e-14,8.065e-16,1.619e-16,1.063e-15,4.023e-16,1.825e-16,3.53e-17,1.692e-17,2.444e-18,3.614e-19,4.234e-20,1.039e-23,2.033e-23,8.053e-23,2.51e-23,5.799e-24,4.741e-24,2.676e-24,4.87e-24,1.909e-24,5.632e-26,5.61e-27,5.396e-29,0,0,4.558e-37,1.418e-22,4.081e-14,3.391e-17,2.897e-16,2.351e-21,1.162e-16,1.092e-21,3.499e-17,1.074e-17,2.277e-17,1.227e-18,1.073e-21,1.01e-21,2.068e-22,9.652e-27,5.278e-28
21.3,6.603e-14,8.361e-16,1.619e-16,1.112e-15,4.288e-16,1.989e-16,4.039e-17,1.966e-17,3.054e-18,4.721e-19,5.883e-20,1.832e-23,3.678e-23,1.464e-22,4.659e-23,1.089e-23,8.937e-24,5.116e-24,9.384e-24,3.771e-24,1.307e-25,1.344e-26,1.338e-28,0,0,4.53e-37,2.391e-22,4.089e-14,3.379e-17,2.884e-16,3.964e-21,1.158e-16,1.835e-21,3.49e-17,1.074e-17,2.312e-17,1.28e-18,1.815e-21,1.749e-21,3.912e-22,2.061e-26,1.3e-27
22.05,6.629e-14,8.665e-16,1.619e-16,1.162e-15,4.561e-16,2.161e-16,4.598e-17,2.272e-17,3.781e-18,6.102e-19,8.06e-20,3.145e-23,6.468e-23,2.586e-22,8.398e-23,1.985e-23,1.636e-23,9.487e-24,1.753e-23,7.214e-24,2.911e-25,3.083e-26,3.169e-28,0,0,4.504e-37,3.931e-22,4.097e-14,3.368e-17,2.871e-16,6.521e-21,1.154e-16,3.009e-21,3.481e-17,1.073e-17,2.347e-17,1.335e-18,2.992e-21,2.95e-21,7.178e-22,4.246e-26,3.06e-27
22.81,6.654e-14,8.977e-16,1.618e-16,1.213e-15,4.842e-16,2.341e-16,5.208e-17,2.61e-17,4.64e-18,7.805e-19,1.09e-19,5.263e-23,1.108e-22,4.449e-22,1.473e-22,3.52e-23,2.91e-23,1.71e-23,3.183e-23,1.339e-23,6.244e-25,6.792e-26,7.193e-28,0,0,4.479e-37,6.309e-22,4.105e-14,3.357e-17,2.859e-16,1.048e-20,1.15e-16,4.82e-21,3.471e-17,1.072e-17,2.382e-17,1.391e-18,4.817e-21,4.854e-21,1.28e-21,8.453e-26,6.908e-27
23.58,6.679e-14,9.297e-16,1.617e-16,1.264e-15,5.131e-16,2.528e-16,5.87e-17,2.983e-17,5.647e-18,9.886e-19,1.455e-19,8.604e-23,1.852e-22,7.465e-22,2.517e-22,6.082e-23,5.045e-23,3e-23,5.623e-23,2.417e-23,1.292e-24,1.441e-25,1.569e-27,0,0,4.455e-37,9.899e-22,4.112e-14,3.346e-17,2.847e-16,1.647e-20,1.146e-16,7.556e-21,3.462e-17,1.07e-17,2.417e-17,1.45e-18,7.584e-21,7.802e-21,2.221e-21,1.63e-25,1.499e-26
24.36,6.704e-14,9.606e-16,1.617e-16,1.31e-15,5.409e-16,2.719e-16,6.617e-17,3.406e-17,6.864e-18,1.257e-18,1.957e-19,1.408e-22,3.096e-22,1.253e-21,4.299e-22,1.05e-22,8.734e-23,5.255e-23,9.912e-23,4.346e-23,3.089e-24,2.635e-25,1.062e-26,1.509e-26,0,4.432e-37,1.557e-21,4.119e-14,3.33e-17,2.834e-16,2.597e-20,1.141e-16,1.188e-20,3.445e-17,1.067e-17,2.453e-17,1.509e-18,1.197e-20,1.256e-20,3.846e-21,3.134e-25,6.144e-26
25.16,6.729e-14,9.943e-16,1.615e-16,1.363e-15,5.713e-16,2.922e-16,7.39e-17,3.854e-17,8.22e-18,1.562e-18,2.548e-19,2.199e-22,4.936e-22,2.004e-21,6.994e-22,1.726e-22,1.44e-22,8.759e-23,1.662e-22,7.429e-23,6.062e-24,5.158e-25,2.227e-26,3.361e-26,0,4.41e-37,2.339e-21,4.126e-14,3.319e-17,2.823e-16,3.911e-20,1.137e-16,1.785e-20,3.435e-17,1.065e-17,2.489e-17,1.573e-18,1.805e-20,1.93e-20,6.337e-21,5.692e-25,1.275e-25
25.97,6.753e-14,1.029e-15,1.613e-16,1.417e-15,6.023e-16,3.133e-16,8.221e-17,4.34e-17,9.775e-18,1.924e-18,3.283e-19,3.369e-22,7.711e-22,3.14e-21,1.114e-21,2.778e-22,2.323e-22,1.428e-22,2.726e-22,1.241e-22,1.156e-23,9.789e-25,4.517e-26,7.226e-26,0,4.39e-37,3.449e-21,4.133e-14,3.308e-17,2.812e-16,5.786e-20,1.133e-16,2.635e-20,3.425e-17,1.063e-17,2.526e-17,1.64e-18,2.671e-20,2.908e-20,1.021e-20,1.007e-24,2.56e-25
26.8,6.778e-14,1.064e-15,1.61e-16,1.471e-15,6.342e-16,3.351e-16,9.109e-17,4.868e-17,1.155e-17,2.352e-18,4.188e-19,5.067e-22,1.182e-21,4.826e-21,1.739e-21,4.381e-22,3.672e-22,2.28e-22,4.378e-22,2.027e-22,2.144e-23,1.804e-24,8.884e-26,1.502e-25,0,4.37e-37,4.998e-21,4.139e-14,3.297e-17,2.802e-16,8.414e-20,1.129e-16,3.824e-20,3.415e-17,1.061e-17,2.565e-17,1.711e-18,3.886e-20,4.304e-20,1.612e-20,1.738e-24,4.987e-25
27.64,6.803e-14,1.1e-15,1.608e-16,1.526e-15,6.667e-16,3.576e-16,1.006e-16,5.438e-17,1.356e-17,2.854e-18,5.292e-19,7.49e-22,1.779e-21,7.284e-21,2.665e-21,6.78e-22,5.693e-22,3.571e-22,6.891e-22,3.243e-22,3.878e-23,3.233e-24,1.697e-25,3.026e-25,0,4.35e-37,7.123e-21,4.145e-14,3.286e-17,2.791e-16,1.204e-19,1.125e-16,5.461e-20,3.405e-17,1.059e-17,2.604e-17,1.786e-18,5.56e-20,6.262e-20,2.495e-20,2.932e-24,9.443e-25
