
 
C1    N2    Elastic                                             
E/N (Td)	Rate coefficient (m3/s)
32.95	0.1881E-14
33.89	0.1942E-14
34.83	0.2003E-14
35.79	0.2065E-14
36.77	0.2128E-14
37.75	0.2191E-14
38.75	0.2255E-14
39.77	0.2311E-14
40.79	0.2376E-14
41.83	0.2441E-14
42.89	0.2506E-14
43.95	0.2572E-14
45.03	0.2637E-14
46.13	0.2703E-14
47.23	0.2769E-14
48.36	0.2835E-14
49.49	0.2899E-14
50.64	0.2965E-14
51.80	0.3031E-14
52.97	0.3096E-14
54.16	0.3160E-14
55.36	0.3224E-14
56.58	0.3287E-14
57.81	0.3349E-14
59.05	0.3410E-14
60.30	0.3469E-14
61.57	0.3528E-14
62.85	0.3596E-14
64.15	0.3651E-14
65.46	0.3705E-14
66.78	0.3757E-14
68.11	0.3808E-14
69.46	0.3856E-14
70.83	0.3903E-14
72.20	0.3948E-14
73.59	0.3990E-14
74.99	0.4031E-14
76.41	0.4069E-14
77.84	0.4102E-14
79.28	0.4136E-14
80.74	0.4167E-14
82.21	0.4197E-14
83.69	0.4224E-14
85.19	0.4249E-14
86.70	0.4272E-14
88.22	0.4293E-14
89.76	0.4312E-14
91.31	0.4328E-14
92.87	0.4343E-14
94.45	0.4355E-14
96.04	0.4361E-14
97.64	0.4370E-14
99.26	0.4377E-14
100.9	0.4382E-14
102.5	0.4385E-14
104.2	0.4387E-14
105.9	0.4387E-14
107.6	0.4386E-14
109.2	0.4383E-14
111.0	0.4379E-14
112.7	0.4373E-14
114.4	0.4366E-14
116.2	0.4358E-14
117.9	0.4348E-14
119.7	0.4350E-14
121.5	0.4338E-14
123.3	0.4325E-14
125.1	0.4311E-14
127.0	0.4296E-14
128.8	0.4281E-14
130.7	0.4265E-14
132.5	0.4248E-14
134.4	0.4230E-14
136.3	0.4212E-14
138.2	0.4194E-14
140.2	0.4174E-14
142.1	0.4155E-14
144.1	0.4134E-14
146.0	0.4103E-14
148.0	0.4082E-14
150.0	0.4061E-14
 
 
C5    N2    Excitation    0.59 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.1191E-25
1.007	0.1391E-25
1.027	0.2192E-25
1.060	0.4518E-25
1.107	0.1163E-24
1.168	0.3545E-24
1.242	0.1211E-23
1.329	0.4404E-23
1.430	0.1633E-22
1.544	0.5956E-22
1.671	0.2082E-21
1.812	0.6844E-21
1.966	0.2090E-20
2.134	0.5877E-20
2.315	0.1525E-19
2.510	0.3648E-19
2.718	0.8065E-19
2.940	0.1656E-18
3.174	0.3173E-18
3.423	0.5711E-18
3.685	0.9713E-18
3.960	0.1570E-17
4.248	0.2425E-17
4.550	0.3597E-17
4.866	0.5150E-17
5.195	0.7144E-17
5.537	0.9652E-17
5.893	0.1270E-16
6.262	0.1636E-16
6.644	0.2067E-16
7.040	0.2567E-16
7.450	0.3141E-16
7.872	0.3791E-16
8.309	0.4521E-16
8.758	0.5333E-16
9.221	0.6230E-16
9.698	0.7205E-16
10.19	0.8277E-16
10.69	0.9439E-16
11.21	0.1069E-15
11.74	0.1204E-15
12.28	0.1347E-15
12.84	0.1501E-15
13.41	0.1659E-15
13.99	0.1827E-15
14.59	0.2013E-15
15.20	0.2202E-15
15.83	0.2401E-15
16.46	0.2594E-15
17.11	0.2809E-15
17.78	0.3034E-15
18.46	0.3267E-15
19.15	0.3508E-15
19.85	0.3765E-15
20.57	0.4023E-15
21.30	0.4288E-15
22.05	0.4561E-15
22.81	0.4842E-15
23.58	0.5131E-15
24.36	0.5409E-15
25.16	0.5713E-15
25.97	0.6023E-15
26.80	0.6342E-15
27.64	0.6667E-15
28.49	0.6999E-15
29.36	0.7338E-15
30.23	0.7684E-15
31.13	0.8073E-15
32.03	0.8433E-15
32.95	0.8800E-15
33.89	0.9173E-15
34.83	0.9552E-15
35.79	0.9937E-15
36.77	0.1033E-14
37.75	0.1072E-14
